Date,Cases
2020-03-04,0
2020-03-10,2
2020-03-11,3
2020-03-14,6
2020-03-15,6
2020-03-19,7
2020-03-20,8
2020-03-21,8
2020-03-22,8
2020-03-23,9
2020-03-24,11
2020-03-25,14
2020-03-26,17
2020-03-27,19
2020-03-28,21
2020-03-30,25
2020-03-31,27
2020-04-01,28
2020-04-02,33
2020-04-03,36
2020-04-04,37
2020-04-05,41
2020-04-06,47
2020-04-07,47
2020-04-08,62
2020-04-10,80
2020-04-11,87
2020-04-12,130
2020-04-13,139
2020-04-14,150
2020-04-15,151
2020-04-16,160
2020-04-17,171
2020-04-18,174
2020-04-19,181
2020-04-20,200
2020-04-21,202
2020-04-22,206
2020-04-23,233
2020-04-24,240
2020-04-25,245
2020-04-26,245
2020-04-27,246
2020-04-28,250
2020-04-29,254
2020-04-30,256
2020-05-01,261
2020-05-02,267
2020-05-03,270
2020-05-04,272
2020-05-05,273
2020-05-06,275
2020-05-07,278
2020-05-08,280
2020-05-11,288
2020-05-12,289
2020-05-14,292
2020-05-15,293
2020-05-18,297
2020-05-19,300
2020-05-20,302
2020-05-21,302
2020-05-22,306
2020-05-26,309
2020-05-27,309
2020-05-28,310
2020-05-29,310
2020-06-01,313
2020-06-02,314
2020-06-03,315
2020-06-04,315
2020-06-05,315
2020-06-08,318
2020-06-09,318
2020-06-11,318
2020-06-12,319
2020-06-17,322
2020-06-18,325
2020-06-24,321
2020-07-01,326
2020-07-08,327
2020-07-15,329
2020-07-22,332
2020-07-29,335
2020-08-05,338
2020-08-12,338
2020-08-20,340
2020-08-26,341
2020-09-02,343
